sep=,
"Time","INV_DC_Bus_Voltage","INV_DC_Bus_Current"
2025-06-03 18:56:48,395 Volts,1.08 Amps
2025-06-03 18:56:48,395 Volts,1.05 Amps
2025-06-03 18:56:48,395 Volts,1.20 Amps
2025-06-03 18:56:48,395 Volts,1.18 Amps
2025-06-03 18:56:48,395 Volts,1.14 Amps
2025-06-03 18:56:48,395 Volts,1.28 Amps
2025-06-03 18:56:49,394 Volts,1.64 Amps
2025-06-03 18:56:49,395 Volts,1.48 Amps
2025-06-03 18:56:49,394 Volts,1.75 Amps
2025-06-03 18:56:49,394 Volts,1.80 Amps
2025-06-03 18:56:49,394 Volts,1.84 Amps
2025-06-03 18:56:49,395 Volts,1.70 Amps
2025-06-03 18:56:49,394 Volts,2.12 Amps
2025-06-03 18:56:49,395 Volts,1.05 Amps
2025-06-03 18:56:49,394 Volts,1.48 Amps
2025-06-03 18:56:49,394 Volts,2.50 Amps
2025-06-03 18:56:50,394 Volts,3.08 Amps
2025-06-03 18:56:50,394 Volts,2.88 Amps
2025-06-03 18:56:50,394 Volts,3.10 Amps
2025-06-03 18:56:50,394 Volts,2.38 Amps
2025-06-03 18:56:50,394 Volts,2.45 Amps
2025-06-03 18:56:50,394 Volts,2.55 Amps
2025-06-03 18:56:50,394 Volts,2.75 Amps
2025-06-03 18:56:50,394 Volts,2.10 Amps
2025-06-03 18:56:50,394 Volts,2.18 Amps
2025-06-03 18:56:50,394 Volts,2.14 Amps
2025-06-03 18:56:51,394 Volts,2.10 Amps
2025-06-03 18:56:51,394 Volts,2.26 Amps
2025-06-03 18:56:51,394 Volts,2.28 Amps
2025-06-03 18:56:51,394 Volts,2.28 Amps
2025-06-03 18:56:51,394 Volts,2.08 Amps
2025-06-03 18:56:51,394 Volts,1.98 Amps
2025-06-03 18:56:51,394 Volts,1.56 Amps
2025-06-03 18:56:51,395 Volts,1.42 Amps
2025-06-03 18:56:51,394 Volts,1.63 Amps
2025-06-03 18:56:51,394 Volts,2.04 Amps
2025-06-03 18:56:52,395 Volts,0.820 Amps
2025-06-03 18:56:52,395 Volts,1.24 Amps
2025-06-03 18:56:52,395 Volts,1.55 Amps
2025-06-03 18:56:52,395 Volts,0.920 Amps
2025-06-03 18:56:52,395 Volts,1.02 Amps
2025-06-03 18:56:52,395 Volts,1.12 Amps
2025-06-03 18:56:52,395 Volts,0.840 Amps
2025-06-03 18:56:52,395 Volts,1 Amps
2025-06-03 18:56:52,395 Volts,1.02 Amps
2025-06-03 18:56:52,395 Volts,0.860 Amps
2025-06-03 18:56:53,395 Volts,0.980 Amps
2025-06-03 18:56:53,395 Volts,0.975 Amps
2025-06-03 18:56:53,395 Volts,0.920 Amps
2025-06-03 18:56:53,395 Volts,1.14 Amps
2025-06-03 18:56:53,395 Volts,1.70 Amps
2025-06-03 18:56:53,394 Volts,1.76 Amps
2025-06-03 18:56:53,394 Volts,1.70 Amps
2025-06-03 18:56:53,395 Volts,1.50 Amps
2025-06-03 18:56:53,395 Volts,1.46 Amps
2025-06-03 18:56:53,394 Volts,2.18 Amps
2025-06-03 18:56:54,395 Volts,1.87 Amps
2025-06-03 18:56:54,394 Volts,1.64 Amps
2025-06-03 18:56:54,394 Volts,1.46 Amps
2025-06-03 18:56:54,394 Volts,1.55 Amps
2025-06-03 18:56:54,395 Volts,1.30 Amps
2025-06-03 18:56:54,395 Volts,1.14 Amps
2025-06-03 18:56:54,395 Volts,1.20 Amps
2025-06-03 18:56:54,395 Volts,1.17 Amps
2025-06-03 18:56:54,395 Volts,1.18 Amps
2025-06-03 18:56:54,395 Volts,1.16 Amps
2025-06-03 18:56:55,395 Volts,1.22 Amps
2025-06-03 18:56:55,395 Volts,1.28 Amps
2025-06-03 18:56:55,395 Volts,1.13 Amps
2025-06-03 18:56:55,395 Volts,1.10 Amps
2025-06-03 18:56:55,395 Volts,1.12 Amps
2025-06-03 18:56:55,395 Volts,1.20 Amps
2025-06-03 18:56:55,395 Volts,1.02 Amps
2025-06-03 18:56:55,395 Volts,1.04 Amps
2025-06-03 18:56:55,395 Volts,1.06 Amps
2025-06-03 18:56:55,395 Volts,1.10 Amps
2025-06-03 18:56:56,395 Volts,1.13 Amps
2025-06-03 18:56:56,395 Volts,1.10 Amps
2025-06-03 18:56:56,395 Volts,1.10 Amps
2025-06-03 18:56:56,395 Volts,1.06 Amps
2025-06-03 18:56:56,395 Volts,1.05 Amps
2025-06-03 18:56:56,395 Volts,1.12 Amps
2025-06-03 18:56:56,395 Volts,1.02 Amps
2025-06-03 18:56:56,395 Volts,1.04 Amps
2025-06-03 18:56:56,395 Volts,1.42 Amps
2025-06-03 18:56:56,395 Volts,1.58 Amps
2025-06-03 18:56:57,395 Volts,1.48 Amps
2025-06-03 18:56:57,395 Volts,1.24 Amps
2025-06-03 18:56:57,395 Volts,1.18 Amps
2025-06-03 18:56:57,395 Volts,1.13 Amps
2025-06-03 18:56:57,395 Volts,1.26 Amps
2025-06-03 18:56:57,395 Volts,1.16 Amps
2025-06-03 18:56:57,395 Volts,1.18 Amps
2025-06-03 18:56:57,395 Volts,1.14 Amps
2025-06-03 18:56:57,395 Volts,1.12 Amps
2025-06-03 18:56:57,395 Volts,1.10 Amps
2025-06-03 18:56:58,395 Volts,1.16 Amps
2025-06-03 18:56:58,395 Volts,1.33 Amps
2025-06-03 18:56:58,395 Volts,1.22 Amps
2025-06-03 18:56:58,395 Volts,1.24 Amps
2025-06-03 18:56:58,395 Volts,1.28 Amps
2025-06-03 18:56:58,394 Volts,1.30 Amps
2025-06-03 18:56:58,395 Volts,1.40 Amps
2025-06-03 18:56:58,394 Volts,1.74 Amps
2025-06-03 18:56:58,394 Volts,1.50 Amps
2025-06-03 18:56:58,394 Volts,1.67 Amps
2025-06-03 18:56:59,394 Volts,1.70 Amps
2025-06-03 18:56:59,394 Volts,1.94 Amps
2025-06-03 18:56:59,394 Volts,2.36 Amps
2025-06-03 18:56:59,394 Volts,2.36 Amps
2025-06-03 18:56:59,394 Volts,2.63 Amps
2025-06-03 18:56:59,394 Volts,3.16 Amps
2025-06-03 18:56:59,394 Volts,3.14 Amps
2025-06-03 18:56:59,394 Volts,3.12 Amps
2025-06-03 18:56:59,394 Volts,3.30 Amps
2025-06-03 18:56:59,394 Volts,3.36 Amps
2025-06-03 18:57:00,394 Volts,2.88 Amps
2025-06-03 18:57:00,394 Volts,2.62 Amps
2025-06-03 18:57:00,394 Volts,2.45 Amps
2025-06-03 18:57:00,394 Volts,2.62 Amps
2025-06-03 18:57:00,394 Volts,2.80 Amps
2025-06-03 18:57:00,394 Volts,2.76 Amps
2025-06-03 18:57:00,394 Volts,2.78 Amps
2025-06-03 18:57:00,394 Volts,3.04 Amps
2025-06-03 18:57:00,394 Volts,3.46 Amps
2025-06-03 18:57:00,394 Volts,3.28 Amps
2025-06-03 18:57:01,394 Volts,3.34 Amps
2025-06-03 18:57:01,394 Volts,3.30 Amps
2025-06-03 18:57:01,394 Volts,3.42 Amps
2025-06-03 18:57:01,394 Volts,3.44 Amps
2025-06-03 18:57:01,394 Volts,3.36 Amps
2025-06-03 18:57:01,394 Volts,3.60 Amps
2025-06-03 18:57:01,394 Volts,3.42 Amps
2025-06-03 18:57:01,394 Volts,3.44 Amps
2025-06-03 18:57:01,394 Volts,3.48 Amps
2025-06-03 18:57:01,394 Volts,3.40 Amps
2025-06-03 18:57:02,394 Volts,3.58 Amps
2025-06-03 18:57:02,394 Volts,3.28 Amps
