sep=,
"Time","INV_Phase_A_Current","INV_Phase_B_Current","INV_Phase_C_Current"
2025-06-03 18:56:45,0.0800,0.0600,0.300
2025-06-03 18:56:45,0.0500,-0.0500,-0.200
2025-06-03 18:56:45,0.120,0.180,0.120
2025-06-03 18:56:45,0.325,-0.0500,0.150
2025-06-03 18:56:45,0.100,0,-0.183
2025-06-03 18:56:45,0.0250,0.125,0.150
2025-06-03 18:56:46,-2.22e-17,-0.0200,-0.160
2025-06-03 18:56:46,0.120,-0.0400,-0.260
2025-06-03 18:56:46,0,0.120,-0.0200
2025-06-03 18:56:46,-0.150,-0.225,0.150
2025-06-03 18:56:46,5.48,3.76,-9
2025-06-03 18:56:46,-3.28,-4.42,6.92
2025-06-03 18:56:46,12.5,10.4,-22.2
2025-06-03 18:56:46,-3.84,-6,10.0
2025-06-03 18:56:46,-6.78,6.93,-0.200
2025-06-03 18:56:46,6.78,-1.80,-4.90
2025-06-03 18:56:47,7.62,1.16,-8.40
2025-06-03 18:56:47,-9.78,8.90,1.02
2025-06-03 18:56:47,4.40,-11.4,7.13
2025-06-03 18:56:47,-1.36,5.44,-3.90
2025-06-03 18:56:47,7.15,-0.0500,-6.57
2025-06-03 18:56:47,-3.05,-1.98,4.38
2025-06-03 18:56:47,-0.525,-1.10,1.08
2025-06-03 18:56:47,-7.52,9.22,-2.26
2025-06-03 18:56:47,4.26,-3.28,-0.720
2025-06-03 18:56:47,-0.480,6.24,-5.86
2025-06-03 18:56:48,1.02,-6.95,5.32
2025-06-03 18:56:48,-3.00,6.92,-4.32
2025-06-03 18:56:48,9.32,-7.80,-0.960
2025-06-03 18:56:48,-7.38,0.120,6.86
2025-06-03 18:56:48,-7.00,0.440,7.02
2025-06-03 18:56:48,-32.5,25.4,7.43
2025-06-03 18:56:48,46.3,-23.4,-22.5
2025-06-03 18:56:48,-27.3,-13.0,39.4
2025-06-03 18:56:48,-31.9,40.9,-8.52
2025-06-03 18:56:48,1.58,42,-43.1
2025-06-03 18:56:49,7.62,45.5,-53.9
2025-06-03 18:56:49,2.78,43.5,-45.6
2025-06-03 18:56:49,-50.7,53.7,-4.13
2025-06-03 18:56:49,-37.8,-4.96,42.4
2025-06-03 18:56:49,41.6,-25.8,-15.5
2025-06-03 18:56:49,-32.3,16.1,14.7
2025-06-03 18:56:49,17.7,13.1,-30.1
2025-06-03 18:56:49,9.23,-17.9,8.78
2025-06-03 18:56:49,7.02,-4.22,-3.48
2025-06-03 18:56:49,7.16,-7.28,0.440
2025-06-03 18:56:50,-20.3,11.6,7.66
2025-06-03 18:56:50,-3.85,-9.40,11.9
2025-06-03 18:56:50,19.6,4.86,-23.6
2025-06-03 18:56:50,-7.52,-5.86,13.0
2025-06-03 18:56:50,-14.1,-10.2,24.3
2025-06-03 18:56:50,-4.62,6.07,-1.20
2025-06-03 18:56:50,-1.72,5.03,-2.53
2025-06-03 18:56:50,11.7,-11.6,-0.240
2025-06-03 18:56:50,-10.1,9.90,0.260
2025-06-03 18:56:50,9.50,-8.10,-1.16
2025-06-03 18:56:51,2.38,2.53,-5.25
2025-06-03 18:56:51,-6.24,-6.38,11.5
2025-06-03 18:56:51,-2.26,1.16,1.22
2025-06-03 18:56:51,-2.10,7.96,-6.28
2025-06-03 18:56:51,6.53,-16.8,10.4
2025-06-03 18:56:51,1.92,-1.32,-0.720
2025-06-03 18:56:51,1.08,9.22,-9.94
2025-06-03 18:56:51,0.740,-5.08,4.06
2025-06-03 18:56:51,-6.67,-1.98,8.80
2025-06-03 18:56:51,3.58,-0.700,-3.42
2025-06-03 18:56:52,-1.54,3.20,-1.28
2025-06-03 18:56:52,0.680,-1.18,-0.100
2025-06-03 18:56:52,-10.8,7.15,3.30
2025-06-03 18:56:52,-0.600,-1.80,2.40
2025-06-03 18:56:52,1.70,2.28,-4.12
2025-06-03 18:56:52,-3.70,-0.100,4.24
2025-06-03 18:56:52,-0.420,0.280,0.160
2025-06-03 18:56:52,1.20,1.50,-2.30
2025-06-03 18:56:52,-3.54,2.74,1.04
2025-06-03 18:56:52,-1.88,1.26,0.600
2025-06-03 18:56:53,2.94,-1.42,-2.02
2025-06-03 18:56:53,-3.35,2.58,0.350
2025-06-03 18:56:53,-1.36,0.960,0.620
2025-06-03 18:56:53,0.600,-1.32,1.64
2025-06-03 18:56:53,-1.80,4.93,-3.12
2025-06-03 18:56:53,7.44,-5.24,-1.90
2025-06-03 18:56:53,-2.30,-3.04,5.60
2025-06-03 18:56:53,0.380,5.14,-4.74
2025-06-03 18:56:53,-6.64,1.28,4.78
2025-06-03 18:56:53,0.150,-9.38,8.68
2025-06-03 18:56:54,-12.6,12.6,0.0333
2025-06-03 18:56:54,-10.7,3.74,7.02
2025-06-03 18:56:54,5.04,2.42,-7.18
2025-06-03 18:56:54,2.70,-5.20,3.15
2025-06-03 18:56:54,-7.60,2.42,5.14
2025-06-03 18:56:54,3.56,-0.780,-2.82
2025-06-03 18:56:54,-0.175,-0.725,0.225
2025-06-03 18:56:54,-3.38,0.0333,3.52
2025-06-03 18:56:54,2.25,1.32,-3.20
2025-06-03 18:56:54,4.78,-2.72,-2.00
2025-06-03 18:56:55,-6.40,3.22,2.88
2025-06-03 18:56:55,4.04,-1.54,-2.86
2025-06-03 18:56:55,-1.25,-2.57,3.83
2025-06-03 18:56:55,-2.06,2.96,-1.36
2025-06-03 18:56:55,0.380,-3.38,3.18
2025-06-03 18:56:55,0.720,3.44,-3.94
2025-06-03 18:56:55,-0.600,-2.75,2.75
2025-06-03 18:56:55,0.360,2.58,-2.48
2025-06-03 18:56:55,-1.62,1.66,-0.0600
2025-06-03 18:56:55,0.220,-3.02,2.10
2025-06-03 18:56:56,5.18,-4.65,0.525
2025-06-03 18:56:56,-4.62,3.54,0.700
2025-06-03 18:56:56,-0.960,-4.98,5.80
2025-06-03 18:56:56,1.24,-1.64,0.760
2025-06-03 18:56:56,3.28,0.825,-3.15
2025-06-03 18:56:56,-4,2.80,0.600
2025-06-03 18:56:56,2.06,-2.02,-0.700
2025-06-03 18:56:56,-2.12,1.94,0.200
2025-06-03 18:56:56,1.98,-4.68,3.10
2025-06-03 18:56:56,2.17,3.77,-6.02
2025-06-03 18:56:57,-7.46,8.04,-0.640
2025-06-03 18:56:57,5.44,-5.22,-0.300
2025-06-03 18:56:57,0.140,2.98,-3
2025-06-03 18:56:57,4.72,3.27,-8.27
